trial,n_balls,k,replan_mode,pickup_radius,kick_radius,method,planned_dist_m,actual_dist_m,savings_m,incidental_rate,n_incidental,n_replans,n_kicks,planning_ms
1,50,4,per_cluster,0.15,0.25,greedy_nn,26.385216615277166,28.48171680958522,-2.096500194308053,0.14,7,7,7,0.336128992785234
1,50,4,per_cluster,0.15,0.25,nn_2opt,22.529584534156164,22.285791413514346,0.24379312064181846,0.16,8,7,6,7.689200007007457
1,50,4,per_cluster,0.15,0.25,boustrophedon,28.94100594561717,29.64020764626253,-0.6992017006453608,0.26,13,6,5,0.059974998293910176
1,50,4,per_cluster,0.15,0.25,simulated_annealing,22.529584534156164,22.19166281211594,0.33792172204022464,0.16,8,7,6,306.1350140051218
1,50,4,per_cluster,0.15,0.25,kmeans_nn_2opt,24.5655778101778,26.480628763162276,-1.9150509529844761,0.14,7,8,8,2.6327100058551878
1,50,4,per_cluster,0.15,0.25,kmeans_exact_centroid,25.344697165662065,27.29327834736534,-1.9485811817032754,0.1,5,9,10,2.508212004613597
2,50,4,per_cluster,0.15,0.25,greedy_nn,28.947904365425284,30.786976203165988,-1.839071837740704,0.04,2,8,7,0.42685199150582775
2,50,4,per_cluster,0.15,0.25,nn_2opt,24.422441349647578,24.467082114742933,-0.044640765095355306,0.04,2,8,7,11.207188996195327
2,50,4,per_cluster,0.15,0.25,boustrophedon,31.881651428259197,36.19244979334516,-4.310798365085965,0.16,8,6,5,0.05485399015014991
2,50,4,per_cluster,0.15,0.25,simulated_annealing,24.203849349664623,24.62879610676199,-0.4249467570973664,0.04,2,7,6,389.4574080040911
2,50,4,per_cluster,0.15,0.25,kmeans_nn_2opt,28.492484779149255,28.24387528583098,0.24860949331827342,0.04,2,8,7,2.1227569959592074
2,50,4,per_cluster,0.15,0.25,kmeans_exact_centroid,28.492484779149255,28.319083091917353,0.17340168723190175,0.04,2,8,7,2.2344610042637214
3,50,4,per_cluster,0.15,0.25,greedy_nn,29.500876351111547,26.428708147630925,3.072168203480622,0.1,5,20,20,1.130716991610825
3,50,4,per_cluster,0.15,0.25,nn_2opt,24.74012613695532,24.541015719768186,0.19911041718713207,0.12,6,18,18,34.498297005484346
3,50,4,per_cluster,0.15,0.25,boustrophedon,30.968838963957634,34.26654099239066,-3.297702028433026,0.26,13,12,11,0.1154810088337399
3,50,4,per_cluster,0.15,0.25,simulated_annealing,24.136918528559782,24.670071961261026,-0.5331534327012442,0.08,4,15,15,816.6333549743285
3,50,4,per_cluster,0.15,0.25,kmeans_nn_2opt,27.152951004306047,27.739655501177968,-0.5867044968719206,0.12,6,18,18,5.126299016410485
3,50,4,per_cluster,0.15,0.25,kmeans_exact_centroid,27.152951004306047,26.737341302904706,0.41560970140134046,0.12,6,16,15,5.125123010657262
4,50,4,per_cluster,0.15,0.25,greedy_nn,23.980817662277207,21.652768749192262,2.3280489130849453,0.18,9,7,8,0.43266499415040016
4,50,4,per_cluster,0.15,0.25,nn_2opt,19.623291694905635,19.31132265018607,0.31196904471956444,0.12,6,11,12,7.733825012110174
4,50,4,per_cluster,0.15,0.25,boustrophedon,25.342666199559734,27.387058568808094,-2.04439236924836,0.3,15,9,8,0.08070500916801393
4,50,4,per_cluster,0.15,0.25,simulated_annealing,19.128858580853823,19.387796429851804,-0.2589378489979808,0.16,8,8,10,379.97732500662096
4,50,4,per_cluster,0.15,0.25,kmeans_nn_2opt,20.46649677306308,20.13265259580401,0.33384417725907056,0.16,8,8,8,1.8659580091480166
4,50,4,per_cluster,0.15,0.25,kmeans_exact_centroid,20.46649677306308,19.95548651019979,0.5110102628632909,0.16,8,8,8,1.9814379920717329
5,50,4,per_cluster,0.15,0.25,greedy_nn,26.62572500526132,27.84070870896827,-1.2149837037069489,0.16,8,15,16,1.0298230190528557
5,50,4,per_cluster,0.15,0.25,nn_2opt,23.275357139831303,23.755861663820347,-0.480504523989044,0.14,7,13,15,15.937950010993518
5,50,4,per_cluster,0.15,0.25,boustrophedon,31.211974920281275,26.58331674442836,4.628658175852916,0.34,17,9,10,0.07545399421360344
5,50,4,per_cluster,0.15,0.25,simulated_annealing,23.275357139831303,22.823780386158123,0.45157675367318006,0.16,8,12,13,610.2660049873521
5,50,4,per_cluster,0.15,0.25,kmeans_nn_2opt,24.99367847726751,24.942177624691176,0.05150085257633208,0.18,9,11,11,3.2660399956512265
5,50,4,per_cluster,0.15,0.25,kmeans_exact_centroid,24.99367847726751,24.488126236357658,0.5055522409098501,0.2,10,12,12,3.360305985552259
6,50,4,per_cluster,0.15,0.25,greedy_nn,29.045066471810035,25.386778999436586,3.6582874723734484,0.08,4,8,9,0.4651269919122569
6,50,4,per_cluster,0.15,0.25,nn_2opt,22.67297274255231,22.70914966347815,-0.036176920925839795,0.08,4,6,7,13.881447004678193
6,50,4,per_cluster,0.15,0.25,boustrophedon,31.731913769487722,33.320795448554165,-1.5888816790664428,0.24,12,6,4,0.05901198892388493
6,50,4,per_cluster,0.15,0.25,simulated_annealing,22.53680019335314,22.70914966347815,-0.17234947012500967,0.08,4,6,7,402.4739199958276
6,50,4,per_cluster,0.15,0.25,kmeans_nn_2opt,24.289353496500723,25.26857365855653,-0.9792201620558068,0.1,5,8,11,1.9092509974143468
6,50,4,per_cluster,0.15,0.25,kmeans_exact_centroid,24.289353496500723,25.26857365855653,-0.9792201620558068,0.1,5,8,11,2.0272649999242276
7,50,4,per_cluster,0.15,0.25,greedy_nn,25.872335121192627,27.660603717944987,-1.78826859675236,0.16,8,8,8,0.4888629919150844
7,50,4,per_cluster,0.15,0.25,nn_2opt,22.890091313949018,22.27934193148044,0.6107493824685761,0.14,7,8,8,12.395452984492294
7,50,4,per_cluster,0.15,0.25,boustrophedon,32.343309269745106,31.77419389951358,0.5691153702315255,0.24,12,8,9,0.06032400415278971
7,50,4,per_cluster,0.15,0.25,simulated_annealing,21.97819740872653,22.228960829306562,-0.2507634205800322,0.14,7,8,8,429.91556398919784
7,50,4,per_cluster,0.15,0.25,kmeans_nn_2opt,22.64626431232785,22.850573627786545,-0.20430931545869413,0.18,9,7,6,2.403313003014773
7,50,4,per_cluster,0.15,0.25,kmeans_exact_centroid,22.64626431232785,22.850573627786545,-0.20430931545869413,0.18,9,7,6,2.484575998096261
8,50,4,per_cluster,0.15,0.25,greedy_nn,30.827380677024223,33.60727620198293,-2.779895524958704,0.1,5,6,5,0.4497170157264918
8,50,4,per_cluster,0.15,0.25,nn_2opt,26.845301021865122,26.763562473537114,0.08173854832800842,0.1,5,5,4,15.393071000289638
8,50,4,per_cluster,0.15,0.25,boustrophedon,38.054790960117074,37.089361634357864,0.9654293257592101,0.16,8,3,2,0.035416000173427165
8,50,4,per_cluster,0.15,0.25,simulated_annealing,26.82489256165774,26.80443243045982,0.020460131197921783,0.1,5,5,4,491.9380369974533
8,50,4,per_cluster,0.15,0.25,kmeans_nn_2opt,27.29081599196075,26.94310829657462,0.3477076953861271,0.08,4,6,5,1.9362410021130927
8,50,4,per_cluster,0.15,0.25,kmeans_exact_centroid,27.29081599196075,27.87932217590651,-0.5885061839457606,0.08,4,6,5,2.015170997765381
9,50,4,per_cluster,0.15,0.25,greedy_nn,25.448830969591185,22.28868386862953,3.1601471009616553,0.18,9,4,3,0.2936799937742762
9,50,4,per_cluster,0.15,0.25,nn_2opt,23.635873203724387,20.987782600048934,2.6480906036754526,0.16,8,5,4,6.035257996700238
9,50,4,per_cluster,0.15,0.25,boustrophedon,34.226831615118904,30.738791986661866,3.488039628457038,0.2,10,6,6,0.047570989408995956
9,50,4,per_cluster,0.15,0.25,simulated_annealing,21.38450686298774,21.018994936741866,0.36551192624587614,0.16,8,5,4,284.0693319958518
9,50,4,per_cluster,0.15,0.25,kmeans_nn_2opt,23.63139966081857,23.824059773875312,-0.1926601130567427,0.14,7,6,5,1.394329003232997
9,50,4,per_cluster,0.15,0.25,kmeans_exact_centroid,23.63139966081857,24.29973763253107,-0.6683379717125,0.18,9,3,2,1.103013004467357
10,50,4,per_cluster,0.15,0.25,greedy_nn,25.901168043923747,28.232614806723582,-2.3314467627998354,0.14,7,7,7,0.44015899766236544
10,50,4,per_cluster,0.15,0.25,nn_2opt,25.260010275906136,25.83761048997117,-0.5776002140650327,0.14,7,7,6,8.926839000196196
10,50,4,per_cluster,0.15,0.25,boustrophedon,33.976205521453736,30.75558453291125,3.2206209885424855,0.2,10,8,7,0.09397999383509159
10,50,4,per_cluster,0.15,0.25,simulated_annealing,25.162200917074728,25.05627837261904,0.10592254445568727,0.14,7,7,6,440.72255600622157
10,50,4,per_cluster,0.15,0.25,kmeans_nn_2opt,27.684256162687383,27.505054209762612,0.17920195292477104,0.14,7,7,6,1.8166450099670328
10,50,4,per_cluster,0.15,0.25,kmeans_exact_centroid,27.684256162687383,27.505054209762612,0.17920195292477104,0.14,7,7,6,1.8991510223713703
